WDPAID,median,upper,lower
28561,0.43,0.802,0.242
300768,0.369,0.61,0.139
313430,0.397,0.732,0.12
28562,0.445,0.856,0.214
40856,0.509,0.76,0.377
29497,0.607,0.817,0.409
40731,NA,NA,NA
36763,0.402,0.805,0.268
36397,0.339,0.453,0.185
671,0.465,0.813,0.306
40890,0.41,0.643,0.236
36272,0.367,0.532,0.26
36522,0.284,0.447,0.139
36530,0.348,0.474,0.141
303953,0.41,0.643,0.236
36768,0.424,0.764,0.232
40854,0.578,0.795,0.433
36508,0.343,0.687,0.126
36499,0.321,0.626,0.148
36226,0.358,0.603,0.236
36400,0.473,0.808,0.228
36535,0.363,0.478,0.137
40887,0.475,0.837,0.325
36294,0.399,0.525,0.248
300726,0.432,0.774,0.224
342659,0.648,0.901,0.35
342661,0.636,0.912,0.303
351088,0.38,0.743,0.181
33049,0.38,0.743,0.181
40828,NA,NA,NA
36631,0.487,0.868,0.275
36726,0.532,0.894,0.264
36688,0.533,0.835,0.219
26507,0.425,0.733,0.228
26535,0.479,0.884,0.199
342671,0.528,0.972,0.227
26536,0.391,0.724,0.149
